Order_ID,Order_Date,Region,City,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-10000,2022-07-14,South,Houston,Office Supplies,Binders,574.32,7,0.0,90.93
ORD-10001,2022-06-07,South,Houston,Technology,Accessories,1427.06,3,0.1,468.06
ORD-10002,2022-05-21,West,Houston,furniture,Binders,1103.35,7,,58.24
ORD-10003,2022-10-02,east,New York,Furniture,Binders,906.01,8,0.0,247.61
ORD-10004,2022-01-07,east,San Antonio,Office Supplies,Accessories,250.91,6,0.2,-9.41
ORD-10005,2022-02-23,east,San Jose,Office Supplies,Storage,250.87,9,0.3,75.35
ORD-10006,2022-04-14,Central,Houston,Technology,Tables,105.96,6,0.3,-0.89
ORD-10007,2022-12-08,east,San Antonio,Office Supplies,Phones,1301.94,9,0.2,-83.16
ORD-10008,2022-12-04,West,San Jose,furniture,Chairs,909.65,4,0.1,-35.25
ORD-10009,2022-03-02,Central,Dallas,furniture,Tables,1067.95,8,,-43.53
ORD-10010,2022-03-28,east,San Jose,Office Supplies,Binders,50.47,4,0.3,7.96
ORD-10011,2022-09-15,Central,Dallas,Technology,Chairs,1455.47,2,0.2,519.43
ORD-10012,2022-06-27,West,Los Angeles,Office Supplies,Phones,1252.02,9,0.2,-128.0
ORD-10013,2022-08-30,east,Phoenix,Office Supplies,Tables,334.26,5,0.1,91.65
ORD-10014,2022-07-22,East,San Antonio,Technology,Tables,289.1,4,0.1,70.14
ORD-10015,2022-01-31,WEST,San Jose,furniture,Storage,291.44,2,0.0,108.86
ORD-10016,2022-10-16,West,Dallas,Furniture,Tables,470.28,1,0.3,-1.65
ORD-10017,2022-03-21,South,Phoenix,Office Supplies,Tables,796.64,7,0.0,95.65
ORD-10018,2022-01-11,South,Houston,furniture,Phones,659.28,6,0.2,267.34
ORD-10019,2022-09-11,West,Phoenix,Office Supplies,Phones,451.02,2,,110.95
ORD-10020,2022-10-14,South,Phoenix,Furniture,Chairs,925.54,8,,77.06
ORD-10021,2022-06-25,West,Houston,Technology,Binders,226.45,4,0.1,-16.11
ORD-10022,2022-05-06,East,San Antonio,furniture,Phones,452.37,8,,3.39
ORD-10023,2022-02-16,West,San Jose,Furniture,Chairs,562.22,7,,111.73
ORD-10024,2022-07-25,east,Houston,Office Supplies,Tables,694.98,5,,195.22
ORD-10025,2022-04-17,east,Los Angeles,Furniture,Machines,1182.06,8,0.2,-89.06
ORD-10026,2022-10-02,Central,Chicago,furniture,Chairs,315.52,9,,66.18
ORD-10027,2022-12-03,South,San Jose,Technology,Machines,781.07,5,,140.76
ORD-10028,2022-05-03,WEST,New York,Office Supplies,Chairs,896.77,5,,142.02
ORD-10029,2022-05-14,South,Houston,Technology,Chairs,88.75,2,0.0,23.44
ORD-10030,2022-04-17,West,Houston,Technology,Machines,919.17,5,0.2,323.98
ORD-10031,2022-11-01,WEST,Phoenix,Furniture,Accessories,272.38,3,0.1,11.93
ORD-10032,2022-11-25,WEST,Los Angeles,Furniture,Chairs,116.28,7,0.0,44.58
ORD-10033,2022-02-19,South,Dallas,furniture,Machines,1424.35,5,0.3,-76.37
ORD-10034,2022-12-03,WEST,Dallas,furniture,Phones,1449.14,8,0.2,-66.93
ORD-10035,2022-04-05,WEST,Phoenix,Technology,Paper,1216.43,1,0.2,12.24
ORD-10036,2022-09-25,east,San Antonio,furniture,Paper,470.83,3,0.3,-36.86
ORD-10037,2022-01-23,East,San Jose,Technology,Paper,164.55,3,0.3,-1.94
ORD-10038,2022-02-23,West,Houston,Office Supplies,Paper,1032.66,9,0.3,-88.97
ORD-10039,2022-09-11,South,San Jose,Technology,Accessories,671.43,5,0.1,230.34
ORD-10040,2022-08-23,east,San Jose,furniture,Binders,200.62,9,,-13.37
ORD-10041,2022-02-28,Central,Houston,furniture,Machines,752.86,9,0.2,224.64
ORD-10042,2022-06-13,WEST,Phoenix,Technology,Chairs,70.9,1,,-8.6
ORD-10043,2022-09-16,WEST,San Jose,Furniture,Storage,1365.79,2,,572.42
ORD-10044,2022-11-10,South,Houston,Technology,Paper,402.99,5,0.3,111.51
ORD-10045,2022-08-04,East,San Antonio,Technology,Tables,1000.53,4,0.1,-146.0
ORD-10046,2022-07-02,East,San Jose,Furniture,Paper,481.33,9,0.0,148.4
ORD-10047,2022-02-26,South,Chicago,Office Supplies,Paper,789.7,7,0.1,125.13
ORD-10048,2022-05-25,South,New York,Furniture,Tables,829.13,6,,263.35
ORD-10049,2022-03-31,east,New York,furniture,Accessories,293.58,7,0.1,48.0
ORD-10050,2022-11-07,South,New York,Furniture,Tables,1454.99,1,0.3,341.36
ORD-10051,2022-02-14,Central,Chicago,furniture,Tables,1167.2,1,0.0,375.6
ORD-10052,2022-09-14,east,Houston,furniture,Accessories,1410.46,8,0.3,131.26
ORD-10053,2022-01-21,WEST,Phoenix,Technology,Tables,1344.34,2,0.0,-199.47
ORD-10054,2022-01-21,WEST,Dallas,Technology,Chairs,904.89,9,,325.73
ORD-10055,2022-02-21,WEST,Los Angeles,Office Supplies,Paper,1384.37,7,0.0,108.72
ORD-10056,2022-12-04,WEST,Houston,furniture,Binders,150.97,6,0.0,22.29
ORD-10057,2022-06-20,West,Chicago,Technology,Accessories,310.05,1,0.0,-45.06
ORD-10058,2022-03-08,Central,San Jose,furniture,Storage,86.94,1,0.1,12.63
ORD-10059,2022-04-23,east,San Antonio,Office Supplies,Accessories,501.49,2,0.1,221.6
ORD-10060,2022-10-27,east,Chicago,furniture,Phones,595.24,6,,10.1
ORD-10061,2022-06-09,WEST,San Jose,Office Supplies,Storage,421.6,6,0.0,36.79
ORD-10062,2022-09-23,East,Dallas,Office Supplies,Phones,1246.53,2,0.2,326.98
ORD-10063,2022-11-16,east,New York,Office Supplies,Machines,547.99,1,,185.7
ORD-10064,2022-08-20,Central,Houston,Technology,Machines,435.78,5,0.0,43.77
ORD-10065,2022-11-21,South,Dallas,Furniture,Accessories,823.19,5,0.0,29.47
ORD-10066,2022-03-09,Central,New York,Furniture,Phones,228.57,2,0.1,94.33
ORD-10067,2022-01-28,WEST,Los Angeles,Technology,Storage,1207.25,6,,309.4
ORD-10068,2022-04-26,WEST,San Jose,furniture,Chairs,130.33,9,0.0,-10.24
ORD-10069,2022-02-20,West,San Jose,Technology,Accessories,1480.59,2,0.0,-160.86
ORD-10070,2022-06-30,east,San Antonio,furniture,Accessories,1162.92,2,,162.96
ORD-10071,2022-09-17,east,New York,Office Supplies,Tables,314.1,3,0.2,-5.64
ORD-10072,2022-03-20,east,Los Angeles,Technology,Accessories,28.17,7,,0.07
ORD-10073,2022-09-30,WEST,San Jose,Furniture,Paper,1226.88,6,,462.06
ORD-10074,2022-04-18,east,Chicago,furniture,Machines,1066.15,8,0.2,-102.63
ORD-10075,2022-03-15,East,New York,Technology,Paper,1098.93,8,,306.84
ORD-10076,2022-06-24,East,New York,Technology,Accessories,1161.48,6,0.0,14.73
ORD-10077,2022-07-03,South,Phoenix,furniture,Machines,129.59,3,,39.68
ORD-10078,2022-01-23,east,San Antonio,Office Supplies,Machines,550.53,3,0.2,156.05
